Segment,Country, Product , Discount Band ,Units Sold,Manufacturing Price,Sale Price,Date
Government,Canada, Carretera , None ,1618.5,£3.00,£20.00,01/01/2014
Government,Germany, Carretera , None ,1321,£3.00,£20.00,01/01/2014
Midmarket,France, Carretera , None ,2178,£3.00,£15.00,01/06/2014
Midmarket,Germany, Carretera , None ,888,£3.00,£15.00,01/06/2014
Midmarket,Mexico, Carretera , None ,2470,£3.00,£15.00,01/06/2014
Government,Germany, Carretera , None ,1513,£3.00,£350.00,01/12/2014
Midmarket,Germany, Montana , None ,921,£5.00,£15.00,01/03/2014
Channel Partners,Canada, Montana , None ,2518,£5.00,£12.00,01/06/2014
Government,France, Montana , None ,1899,£5.00,£20.00,01/06/2014
Channel Partners,Germany, Montana , None ,1545,£5.00,£12.00,01/06/2014
Midmarket,Mexico, Montana , None ,2470,£5.00,£15.00,01/06/2014
Enterprise,Canada, Montana , None ,2665.5,£5.00,£125.00,01/07/2014
Small Business,Mexico, Montana , None ,958,£5.00,£300.00,01/08/2014
Government,Germany, Montana , None ,2146,£5.00,£7.00,01/09/2014
Enterprise,Canada, Montana , None ,345,£5.00,£125.00,01/10/2013
Midmarket,United States of America, Montana , None ,615,£5.00,£15.00,01/12/2014
Government,Canada, Paseo , None ,292,£10.00,£20.00,01/02/2014
Midmarket,Mexico, Paseo , None ,974,£10.00,£15.00,01/02/2014
Channel Partners,Canada, Paseo , None ,2518,£10.00,£12.00,01/06/2014
Government,Germany, Paseo , None ,1006,£10.00,£350.00,01/06/2014
Channel Partners,Germany, Paseo , None ,367,£10.00,£12.00,01/07/2014
Government,Mexico, Paseo , None ,883,£10.00,£7.00,01/08/2014
Midmarket,France, Paseo , None ,549,£10.00,£15.00,01/09/2013
Small Business,Mexico, Paseo , None ,788,£10.00,£300.00,01/09/2013
Midmarket,Mexico, Paseo , None ,2472,£10.00,£15.00,01/09/2014
Government,United States of America, Paseo , None ,1143,£10.00,£7.00,01/10/2014
Government,Canada, Paseo , None ,1725,£10.00,£350.00,01/11/2013
Channel Partners,United States of America, Paseo , None ,912,£10.00,£12.00,01/11/2013
Midmarket,Canada, Paseo , None ,2152,£10.00,£15.00,01/12/2013
Government,Canada, Paseo , None ,1817,£10.00,£20.00,01/12/2014
Government,Germany, Paseo , None ,1513,£10.00,£350.00,01/12/2014
Government,Mexico, Velo , None ,1493,£120.00,£7.00,01/01/2014
Enterprise,France, Velo , None ,1804,£120.00,£125.00,01/02/2014
Channel Partners,Germany, Velo , None ,2161,£120.00,£12.00,01/03/2014
Government,Germany, Velo , None ,1006,£120.00,£350.00,01/06/2014
Channel Partners,Germany, Velo , None ,1545,£120.00,£12.00,01/06/2014
Enterprise,United States of America, Velo , None ,2821,£120.00,£125.00,01/08/2014
Enterprise,Canada, Velo , None ,345,£120.00,£125.00,01/10/2013
Small Business,Canada, VTT , None ,2001,£250.00,£300.00,01/02/2014
Channel Partners,Germany, VTT , None ,2838,£250.00,£12.00,01/04/2014
Midmarket,France, VTT , None ,2178,£250.00,£15.00,01/06/2014
Midmarket,Germany, VTT , None ,888,£250.00,£15.00,01/06/2014
Government,France, VTT , None ,1527,£250.00,£350.00,01/09/2013
Small Business,France, VTT , None ,2151,£250.00,£300.00,01/09/2014
Government,Canada, VTT , None ,1817,£250.00,£20.00,01/12/2014
Government,France, Amarilla , None ,2750,£260.00,£350.00,01/02/2014
Channel Partners,United States of America, Amarilla , None ,1953,£260.00,£12.00,01/04/2014
Enterprise,Germany, Amarilla , None ,4219.5,£260.00,£125.00,01/04/2014
Government,France, Amarilla , None ,1899,£260.00,£20.00,01/06/2014
Government,Germany, Amarilla , None ,1686,£260.00,£7.00,01/07/2014
Channel Partners,United States of America, Amarilla , None ,2141,£260.00,£12.00,01/08/2014
Government,United States of America, Amarilla , None ,1143,£260.00,£7.00,01/10/2014
Midmarket,United States of America, Amarilla , None ,615,£260.00,£15.00,01/12/2014
Government,France, Paseo , Low ,3945,£10.00,£7.00,01/01/2014
Midmarket,France, Paseo , Low ,2296,£10.00,£15.00,01/02/2014
Government,France, Paseo , Low ,1030,£10.00,£7.00,01/13/2014
Government,France, Velo , Low ,639,£120.00,£7.00,01/11/2014
Government,Canada, VTT , Low ,1326,£250.00,£7.00,01/03/2014
Channel Partners,United States of America, Carretera , Low ,1858,£3.00,£12.00,01/02/2014
Government,Mexico, Carretera , Low ,1210,£3.00,£350.00,01/03/2014
Government,United States of America, Carretera , Low ,2529,£3.00,£7.00,01/07/2014
Channel Partners,Canada, Carretera , Low ,1445,£3.00,£12.00,01/09/2014
Enterprise,United States of America, Carretera , Low ,330,£3.00,£125.00,01/09/2013
Channel Partners,France, Carretera , Low ,2671,£3.00,£12.00,01/09/2014
Channel Partners,Germany, Carretera , Low ,766,£3.00,£12.00,01/10/2013
Small Business,Mexico, Carretera , Low ,494,£3.00,£300.00,01/10/2013
Government,Mexico, Carretera , Low ,1397,£3.00,£350.00,01/10/2014
Government,France, Carretera , Low ,2155,£3.00,£350.00,01/12/2014
Midmarket,Mexico, Montana , Low ,2214,£5.00,£15.00,01/03/2014
Small Business,United States of America, Montana , Low ,2301,£5.00,£300.00,01/04/2014
Government,France, Montana , Low ,1375.5,£5.00,£20.00,01/07/2014
Government,Canada, Montana , Low ,1830,£5.00,£7.00,01/08/2014
Small Business,United States of America, Montana , Low ,2498,£5.00,£300.00,01/09/2013
Enterprise,United States of America, Montana , Low ,663,£5.00,£125.00,01/10/2013
Midmarket,United States of America, Paseo , Low ,1514,£10.00,£15.00,01/02/2014
Government,United States of America, Paseo , Low ,4492.5,£10.00,£7.00,01/04/2014
Enterprise,United States of America, Paseo , Low ,727,£10.00,£125.00,01/06/2014
Enterprise,France, Paseo , Low ,787,£10.00,£125.00,01/06/2014
Enterprise,Mexico, Paseo , Low ,1823,£10.00,£125.00,01/07/2014
Midmarket,Germany, Paseo , Low ,747,£10.00,£15.00,01/09/2014
Channel Partners,Germany, Paseo , Low ,766,£10.00,£12.00,01/10/2013
Small Business,United States of America, Paseo , Low ,2905,£10.00,£300.00,01/11/2014
Government,France, Paseo , Low ,2155,£10.00,£350.00,01/12/2014
Government,France, Velo , Low ,3864,£120.00,£20.00,01/04/2014
Government,Mexico, Velo , Low ,362,£120.00,£7.00,01/05/2014
Enterprise,Canada, Velo , Low ,923,£120.00,£125.00,01/08/2014
Enterprise,United States of America, Velo , Low ,663,£120.00,£125.00,01/10/2013
Government,Canada, Velo , Low ,2092,£120.00,£7.00,01/11/2013
Government,Germany, VTT , Low ,263,£250.00,£7.00,01/03/2014
Government,Canada, VTT , Low ,943.5,£250.00,£350.00,01/04/2014
Enterprise,United States of America, VTT , Low ,727,£250.00,£125.00,01/06/2014
Enterprise,France, VTT , Low ,787,£250.00,£125.00,01/06/2014
Small Business,Germany, VTT , Low ,986,£250.00,£300.00,01/09/2014
Small Business,Mexico, VTT , Low ,494,£250.00,£300.00,01/10/2013
Government,Mexico, VTT , Low ,1397,£250.00,£350.00,01/10/2014
Enterprise,France, VTT , Low ,1744,£250.00,£125.00,01/11/2014
Channel Partners,United States of America, Amarilla , Low ,1989,£260.00,£12.00,01/09/2013
Midmarket,France, Amarilla , Low ,321,£260.00,£15.00,01/11/2013
Enterprise,Canada, Carretera , Low ,742.5,£3.00,£125.00,01/04/2014
Channel Partners,Canada, Carretera , Low ,1295,£3.00,£12.00,01/10/2014
Small Business,Germany, Carretera , Low ,214,£3.00,£300.00,01/10/2013
Government,France, Carretera , Low ,2145,£3.00,£7.00,01/11/2013
Government,Canada, Carretera , Low ,2852,£3.00,£350.00,01/12/2014
Channel Partners,United States of America, Montana , Low ,1142,£5.00,£12.00,01/06/2014
Government,United States of America, Montana , Low ,1566,£5.00,£20.00,01/10/2014
Channel Partners,Mexico, Montana , Low ,690,£5.00,£12.00,01/11/2014
Enterprise,Mexico, Montana , Low ,1660,£5.00,£125.00,01/11/2013
Midmarket,Canada, Paseo , Low ,2363,£10.00,£15.00,01/02/2014
Small Business,France, Paseo , Low ,918,£10.00,£300.00,01/05/2014
Small Business,Germany, Paseo , Low ,1728,£10.00,£300.00,01/05/2014
Channel Partners,United States of America, Paseo , Low ,1142,£10.00,£12.00,01/06/2014
Enterprise,Mexico, Paseo , Low ,662,£10.00,£125.00,01/06/2014
Channel Partners,Canada, Paseo , Low ,1295,£10.00,£12.00,01/10/2014
Enterprise,Germany, Paseo , Low ,809,£10.00,£125.00,01/10/2013
Enterprise,Mexico, Paseo , Low ,2145,£10.00,£125.00,01/10/2013
Channel Partners,France, Paseo , Low ,1785,£10.00,£12.00,01/11/2013
Small Business,Canada, Paseo , Low ,1916,£10.00,£300.00,01/12/2014
Government,Canada, Paseo , Low ,2852,£10.00,£350.00,01/12/2014
Enterprise,Canada, Paseo , Low ,2729,£10.00,£125.00,01/12/2014
Midmarket,United States of America, Paseo , Low ,1925,£10.00,£15.00,01/12/2013
Government,United States of America, Paseo , Low ,2013,£10.00,£7.00,01/12/2013
Channel Partners,France, Paseo , Low ,1055,£10.00,£12.00,01/12/2014
Channel Partners,Mexico, Paseo , Low ,1084,£10.00,£12.00,01/12/2014
Government,United States of America, Velo , Low ,1566,£120.00,£20.00,01/10/2014
Government,Germany, Velo , Low ,2966,£120.00,£350.00,01/10/2013
Government,Germany, Velo , Low ,2877,£120.00,£350.00,01/10/2014
Enterprise,Germany, Velo , Low ,809,£120.00,£125.00,01/10/2013
Enterprise,Mexico, Velo , Low ,2145,£120.00,£125.00,01/10/2013
Channel Partners,France, Velo , Low ,1055,£120.00,£12.00,01/12/2014
Government,Mexico, Velo , Low ,544,£120.00,£20.00,01/12/2013
Channel Partners,Mexico, Velo , Low ,1084,£120.00,£12.00,01/12/2014
Enterprise,Mexico, VTT , Low ,662,£250.00,£125.00,01/06/2014
Small Business,Germany, VTT , Low ,214,£250.00,£300.00,01/10/2013
